2026/08/20 12:33:22.341, 0, 0, 0, 1
2026/08/20 12:33:22.347, 1, 0, 0, 1
2026/08/20 12:33:23.353, 0, 0, 0, 5
2026/08/20 12:33:23.353, 1, 0, 0, 1
2026/08/20 12:33:24.353, 0, 0, 0, 5
2026/08/20 12:33:24.353, 1, 0, 0, 1
2026/08/20 12:33:25.354, 0, 0, 0, 5
2026/08/20 12:33:25.355, 1, 0, 0, 1
2026/08/20 12:33:26.355, 0, 0, 0, 5
2026/08/20 12:33:26.355, 1, 0, 0, 1
2026/08/20 12:33:27.356, 0, 0, 0, 5
2026/08/20 12:33:27.357, 1, 0, 0, 1
2026/08/20 12:33:28.358, 0, 0, 0, 5
2026/08/20 12:33:28.358, 1, 0, 0, 1
2026/08/20 12:33:29.358, 0, 0, 0, 5
2026/08/20 12:33:29.358, 1, 0, 0, 1
2026/08/20 12:33:30.359, 0, 0, 0, 5
2026/08/20 12:33:30.360, 1, 0, 0, 1
2026/08/20 12:33:31.361, 0, 0, 0, 5
2026/08/20 12:33:31.361, 1, 0, 0, 1
2026/08/20 12:33:32.362, 0, 0, 0, 384
2026/08/20 12:33:32.362, 1, 0, 0, 1
2026/08/20 12:33:33.362, 0, 2, 0, 386
2026/08/20 12:33:33.362, 1, 0, 0, 1
2026/08/20 12:33:34.363, 0, 2, 1, 386
2026/08/20 12:33:34.364, 1, 0, 0, 1
2026/08/20 12:33:35.364, 0, 3, 1, 386
2026/08/20 12:33:35.364, 1, 0, 0, 1
2026/08/20 12:33:36.364, 0, 3, 1, 386
2026/08/20 12:33:36.365, 1, 0, 0, 1
2026/08/20 12:33:37.365, 0, 2, 0, 408
2026/08/20 12:33:37.365, 1, 0, 0, 1
2026/08/20 12:33:38.365, 0, 2, 0, 414
2026/08/20 12:33:38.366, 1, 0, 0, 1
2026/08/20 12:33:39.366, 0, 2, 0, 414
2026/08/20 12:33:39.366, 1, 0, 0, 1
2026/08/20 12:33:40.366, 0, 2, 0, 414
2026/08/20 12:33:40.366, 1, 0, 0, 1
2026/08/20 12:33:41.367, 0, 2, 1, 414
2026/08/20 12:33:41.367, 1, 0, 0, 1
2026/08/20 12:33:42.368, 0, 3, 1, 414
2026/08/20 12:33:42.368, 1, 0, 0, 1
2026/08/20 12:33:43.369, 0, 2, 0, 414
2026/08/20 12:33:43.369, 1, 0, 0, 1
2026/08/20 12:33:44.370, 0, 2, 0, 414
2026/08/20 12:33:44.370, 1, 0, 0, 1
2026/08/20 12:33:45.370, 0, 2, 0, 414
2026/08/20 12:33:45.370, 1, 0, 0, 1
2026/08/20 12:33:46.373, 0, 2, 0, 414
2026/08/20 12:33:46.373, 1, 0, 0, 1
2026/08/20 12:33:47.373, 0, 3, 1, 414
2026/08/20 12:33:47.374, 1, 0, 0, 1
2026/08/20 12:33:48.375, 0, 2, 0, 414
2026/08/20 12:33:48.375, 1, 0, 0, 1
2026/08/20 12:33:49.375, 0, 2, 0, 414
2026/08/20 12:33:49.375, 1, 0, 0, 1
2026/08/20 12:33:50.376, 0, 2, 0, 414
2026/08/20 12:33:50.376, 1, 0, 0, 1
2026/08/20 12:33:51.377, 0, 2, 0, 414
2026/08/20 12:33:51.377, 1, 0, 0, 1
2026/08/20 12:33:52.377, 0, 3, 1, 414
2026/08/20 12:33:52.378, 1, 0, 0, 1
2026/08/20 12:33:53.378, 0, 2, 0, 414
2026/08/20 12:33:53.378, 1, 0, 0, 1
2026/08/20 12:33:54.378, 0, 3, 1, 414
2026/08/20 12:33:54.379, 1, 0, 0, 1
2026/08/20 12:33:55.379, 0, 3, 0, 414
2026/08/20 12:33:55.379, 1, 0, 0, 1
2026/08/20 12:33:56.379, 0, 2, 0, 414
2026/08/20 12:33:56.380, 1, 0, 0, 1
2026/08/20 12:33:57.380, 0, 3, 1, 414
2026/08/20 12:33:57.380, 1, 0, 0, 1
2026/08/20 12:33:58.380, 0, 2, 1, 414
2026/08/20 12:33:58.381, 1, 0, 0, 1
2026/08/20 12:33:59.381, 0, 2, 0, 414
2026/08/20 12:33:59.381, 1, 0, 0, 1
2026/08/20 12:34:00.383, 0, 2, 0, 414
2026/08/20 12:34:00.383, 1, 0, 0, 1
2026/08/20 12:34:01.383, 0, 3, 1, 414
2026/08/20 12:34:01.383, 1, 0, 0, 1
2026/08/20 12:34:02.385, 0, 2, 0, 414
2026/08/20 12:34:02.385, 1, 0, 0, 1
2026/08/20 12:34:03.385, 0, 2, 0, 414
2026/08/20 12:34:03.385, 1, 0, 0, 1
2026/08/20 12:34:04.386, 0, 3, 1, 414
2026/08/20 12:34:04.386, 1, 0, 0, 1
2026/08/20 12:34:05.386, 0, 3, 1, 414
2026/08/20 12:34:05.386, 1, 0, 0, 1
2026/08/20 12:34:06.386, 0, 2, 0, 414
2026/08/20 12:34:06.387, 1, 0, 0, 1
2026/08/20 12:34:07.387, 0, 3, 1, 414
2026/08/20 12:34:07.387, 1, 0, 0, 1
2026/08/20 12:34:08.388, 0, 0, 0, 414
2026/08/20 12:34:08.389, 1, 0, 0, 1
2026/08/20 12:34:09.390, 0, 3, 1, 414
2026/08/20 12:34:09.390, 1, 0, 0, 1
2026/08/20 12:34:10.390, 0, 3, 1, 414
2026/08/20 12:34:10.390, 1, 0, 0, 1
2026/08/20 12:34:11.391, 0, 2, 1, 414
2026/08/20 12:34:11.391, 1, 0, 0, 1
2026/08/20 12:34:12.391, 0, 2, 0, 414
2026/08/20 12:34:12.391, 1, 0, 0, 1
2026/08/20 12:34:13.392, 0, 3, 1, 414
2026/08/20 12:34:13.392, 1, 0, 0, 1
2026/08/20 12:34:14.392, 0, 2, 0, 414
2026/08/20 12:34:14.392, 1, 0, 0, 1
2026/08/20 12:34:15.393, 0, 2, 0, 414
2026/08/20 12:34:15.393, 1, 0, 0, 1
2026/08/20 12:34:16.393, 0, 2, 0, 414
2026/08/20 12:34:16.393, 1, 0, 0, 1
2026/08/20 12:34:17.393, 0, 3, 0, 414
2026/08/20 12:34:17.394, 1, 0, 0, 1
2026/08/20 12:34:18.394, 0, 2, 1, 414
2026/08/20 12:34:18.394, 1, 0, 0, 1
2026/08/20 12:34:19.395, 0, 3, 1, 414
2026/08/20 12:34:19.395, 1, 0, 0, 1
2026/08/20 12:34:20.396, 0, 2, 0, 414
2026/08/20 12:34:20.396, 1, 0, 0, 1
2026/08/20 12:34:21.396, 0, 2, 0, 414
2026/08/20 12:34:21.396, 1, 0, 0, 1
2026/08/20 12:34:22.396, 0, 3, 1, 414
2026/08/20 12:34:22.397, 1, 0, 0, 1
2026/08/20 12:34:23.398, 0, 2, 0, 414
2026/08/20 12:34:23.398, 1, 0, 0, 1
2026/08/20 12:34:24.398, 0, 2, 0, 414
2026/08/20 12:34:24.398, 1, 0, 0, 1
2026/08/20 12:34:25.399, 0, 3, 1, 414
2026/08/20 12:34:25.399, 1, 0, 0, 1
2026/08/20 12:34:26.399, 0, 2, 0, 414
2026/08/20 12:34:26.399, 1, 0, 0, 1
2026/08/20 12:34:27.399, 0, 2, 0, 414
2026/08/20 12:34:27.400, 1, 0, 0, 1
2026/08/20 12:34:28.400, 0, 3, 0, 414
2026/08/20 12:34:28.400, 1, 0, 0, 1
2026/08/20 12:34:29.401, 0, 2, 0, 414
2026/08/20 12:34:29.401, 1, 0, 0, 1
2026/08/20 12:34:30.402, 0, 3, 1, 414
2026/08/20 12:34:30.403, 1, 0, 0, 1
2026/08/20 12:34:31.403, 0, 2, 0, 414
2026/08/20 12:34:31.403, 1, 0, 0, 1
2026/08/20 12:34:32.403, 0, 2, 0, 414
2026/08/20 12:34:32.404, 1, 0, 0, 1
2026/08/20 12:34:33.404, 0, 3, 1, 414
2026/08/20 12:34:33.404, 1, 0, 0, 1
2026/08/20 12:34:34.404, 0, 2, 0, 414
2026/08/20 12:34:34.405, 1, 0, 0, 1
2026/08/20 12:34:35.405, 0, 2, 0, 414
2026/08/20 12:34:35.406, 1, 0, 0, 1
2026/08/20 12:34:36.406, 0, 2, 0, 414
2026/08/20 12:34:36.406, 1, 0, 0, 1
2026/08/20 12:34:37.406, 0, 1, 0, 414
2026/08/20 12:34:37.407, 1, 0, 0, 1
2026/08/20 12:34:38.407, 0, 3, 1, 414
2026/08/20 12:34:38.407, 1, 0, 0, 1
2026/08/20 12:34:39.407, 0, 3, 0, 414
2026/08/20 12:34:39.408, 1, 0, 0, 1
2026/08/20 12:34:40.408, 0, 2, 0, 414
2026/08/20 12:34:40.408, 1, 0, 0, 1
2026/08/20 12:34:41.408, 0, 3, 1, 414
2026/08/20 12:34:41.409, 1, 0, 0, 1
2026/08/20 12:34:42.409, 0, 2, 0, 414
2026/08/20 12:34:42.409, 1, 0, 0, 1
2026/08/20 12:34:43.409, 0, 3, 1, 414
2026/08/20 12:34:43.410, 1, 0, 0, 1
2026/08/20 12:34:44.411, 0, 2, 0, 414
